names	celltype
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_46	2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_46	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_46	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_46	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_46	2
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_46	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_46	2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_46	2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_46	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_46	9
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_46	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_46	9
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_46	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_46	3
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_200	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_200	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_200	9
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_200	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_200	10
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_200	PGCs
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_200	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_200	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_200	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_200	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_200	10
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_200	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_200	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_200	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_200	NeuralTube1
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_200	Neural_tube_2
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_200	Tailbud
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_200	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_200	9
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_200	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_200	9
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_200	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_200	18
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_383	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_383	0
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_383	0
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_383	NeuralTube1
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_383	2
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_383	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_383	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_383	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_383	Endoderm
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_383	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_383	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_383	9
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_383	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_383	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_383	Tailbud
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_383	Tailbud
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_383	9
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_383	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_383	2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_383	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_383	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_383	3
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_265	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_265	Neural_tube_2
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_265	PGCs
