	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
22166	Zdhhc23	1.0	-0.14773867
22167	Dalir	1.0	-0.14773867
22168	Gm2546	1.0	-0.14773867
22169	Erich2	1.0	-0.14773867
22170	Calca	1.0	-0.14773867
22171	Gm13680	1.0	-0.14773867
22172	Tmod4	1.0	-0.14773867
22173	3732407C23Rik	1.0	-0.14773867
22174	Gm15690	1.0	-0.14773867
22175	Gm9081	1.0	-0.14773867
22176	Ankdd1b	1.0	-0.14773867
22163	Spink2	1.0	-0.14773867
22177	Gm45412	1.0	-0.14773867
22179	S100a1	1.0	-0.14773867
22180	Barx1	1.0	-0.14773867
22181	Alox15	1.0	-0.14773867
22182	Hpcal4	1.0	-0.14773867
22183	Lrrc15	1.0	-0.14773867
22184	Gm6341	1.0	-0.14773867
22185	Tnfsf13os	1.0	-0.14773867
22186	Fam81a	1.0	-0.14773867
22187	AC148174.2	1.0	-0.14773867
22188	Gm9246	1.0	-0.14773867
22189	Gm43460	1.0	-0.14773867
22190	Gm10175	1.0	-0.14773867
22191	Dhrs13os	1.0	-0.14773867
22178	AC110212.1	1.0	-0.14773867
22162	Gm44261	1.0	-0.14773867
22161	Xrra1	1.0	-0.14773867
22160	Mnd1-ps	1.0	-0.14773867
22131	Gm34730	1.0	-0.14773867
22132	Gm12501	1.0	-0.14773867
22133	Mir1983	1.0	-0.14773867
22134	Fmr1os	1.0	-0.14773867
22135	Prrg4	1.0	-0.14773867
22136	Gm39363	1.0	-0.14773867
22137	Gm9887	1.0	-0.14773867
22138	Gm6883	1.0	-0.14773867
22139	Gm38247	1.0	-0.14773867
22140	Pdgfrl	1.0	-0.14773867
22141	Gm42437	1.0	-0.14773867
22142	Klhl4	1.0	-0.14773867
22143	1700010I14Rik	1.0	-0.14773867
22144	Gm33373	1.0	-0.14773867
22145	Alms1-ps2	1.0	-0.14773867
22146	Vipr1	1.0	-0.14773867
22147	Gm11960	1.0	-0.14773867
22148	Gm2225	1.0	-0.14773867
22149	Ankrd34b	1.0	-0.14773867
22150	Gm37108	1.0	-0.14773867
22151	Klk8	1.0	-0.14773867
22152	Gm49138	1.0	-0.14773867
22153	Gm43081	1.0	-0.14773867
22154	Folh1	1.0	-0.14773867
22155	Crygb	1.0	-0.14773867
22156	A330058E17Rik	1.0	-0.14773867
22157	Fev	1.0	-0.14773867
22158	Spef2	1.0	-0.14773867
22159	Susd3	1.0	-0.14773867
22066	Arhgef3	1.0	-0.12549433
22192	Ifi27l2a	1.0	-0.14773867
22065	2610020C07Rik	1.0	-0.12530339
22063	Cyb5rl	1.0	-0.12511244
21970	Gm3511	1.0	-0.12062539
21971	BC030500	1.0	-0.12062539
21972	Gm8520	1.0	-0.12062539
21973	Oas1b	1.0	-0.12062539
21974	Vwc2	1.0	-0.12062539
21975	Gm48768	1.0	-0.12062539
21976	Apol7d	1.0	-0.12062539
21977	Gcgr	1.0	-0.12062539
21978	Uchl4	1.0	-0.12062539
21979	Card10	1.0	-0.12062539
21980	Pgm5	1.0	-0.12062539
21981	Ldb2	1.0	-0.12062539
21982	Sntb1	1.0	-0.12062539
21969	Gm48455	1.0	-0.12062539
21983	Gm2099	1.0	-0.12072086
21985	Gm26614	1.0	-0.12072086
21986	Igsf6	1.0	-0.12072086
21987	Gm14322	1.0	-0.12072086
21988	Gm15481	1.0	-0.12072086
21989	Zkscan7	1.0	-0.12072086
21990	1600014C23Rik	1.0	-0.12072086
21991	Gm13196	1.0	-0.12072086
21992	Pomt1	1.0	-0.1207686
21993	C630004M23Rik	1.0	-0.12081633
21994	Gm6552	1.0	-0.12081633
21995	Grhl1	1.0	-0.12081633
21996	Plekhb1	1.0	-0.12081633
21997	Gm20760	1.0	-0.12081633
21984	Gad1os	1.0	-0.12072086
21998	Gm15946	1.0	-0.12081633
21968	Gm14279	1.0	-0.12062539
21966	Tmem35b	1.0	-0.1196707
21938	4930478P22Rik	1.0	-0.11819093
21939	Gfi1	1.0	-0.11819093
21940	Gm12286	1.0	-0.11819093
21941	Txn-ps1	1.0	-0.11819093
21942	Gm7434	1.0	-0.11819093
21943	Gm6210	1.0	-0.11819093
21944	Vmn1r218	1.0	-0.11819093
21945	Gm8623	1.0	-0.11819093
21946	Dnali1	1.0	-0.11819093
21947	Gm5602	1.0	-0.11819093
21948	Sdr39u1	1.0	-0.11819093
21949	Bcl3	1.0	-0.11819093
21950	Gm32200	1.0	-0.11819093
21967	Wbp4	1.0	-0.11971843
21951	Gm24851	1.0	-0.11819093
21953	Gm10420	1.0	-0.11819093
21954	Htatip2	1.0	-0.11819093
21955	Gal3st2c	1.0	-0.11819093
21956	D030068K23Rik	1.0	-0.11819093
21957	A4galt	1.0	-0.11819093
21958	Gm17541	1.0	-0.11819093
21959	Gm43075	1.0	-0.11819093
21960	Gm19085	1.0	-0.11819093
21961	Acat3	1.0	-0.11819093
21962	AC090881.3	1.0	-0.11819093
21963	H2-DMa	1.0	-0.11862054
21964	Pgbd1	1.0	-0.11881147
21965	2410131K14Rik	1.0	-0.11962297
21952	Ppp1r18os	1.0	-0.11819093
21999	Gm22129	1.0	-0.12081633
22000	Rdh12	1.0	-0.12081633
22001	Gm45509	1.0	-0.1209118
22035	Ecscr	1.0	-0.12305986
22036	4930589L23Rik	1.0	-0.123155326
22037	0610038B21Rik	1.0	-0.123155326
22038	Gm10388	1.0	-0.1232508
22039	Rsph1	1.0	-0.1232508
22040	Car12	1.0	-0.1232508
22041	Gm6598	1.0	-0.1232508
22042	Vill	1.0	-0.12344173
22043	Gm10080	1.0	-0.12344173
22044	Entpd5	1.0	-0.12348947
22045	Gm15843	1.0	-0.123537205
22046	Ugt8a	1.0	-0.12363268
22047	Grb14	1.0	-0.12363268
22034	Cpne7	1.0	-0.12305986
22048	Gm3507	1.0	-0.12363268
22050	Foxf2	1.0	-0.12363268
22051	Gm14230	1.0	-0.12372814
22052	Hapln1	1.0	-0.12372814
22053	Wt1	1.0	-0.12372814
22054	Gm30698	1.0	-0.12372814
22055	BC067074	1.0	-0.12382361
22056	Gm37045	1.0	-0.12382361
22057	Myh14	1.0	-0.12382361
22058	Tcap	1.0	-0.123919085
22059	Tert	1.0	-0.123919085
22060	Proca1	1.0	-0.123919085
22061	Rab37	1.0	-0.12411002
22062	Gm19196	1.0	-0.12411002
22049	Gm43254	1.0	-0.12363268
22033	Arhgap27os2	1.0	-0.12305986
22032	Stox1	1.0	-0.12305986
22031	Ccdc106	1.0	-0.12296439
22002	A430046D13Rik	1.0	-0.1209118
22003	Gsto2	1.0	-0.1209118
22004	Gm30108	1.0	-0.1209118
22005	Gm5796	1.0	-0.1209118
22006	AC142100.1	1.0	-0.1209118
22007	Ppp1r14c	1.0	-0.1209118
22008	A730071L15Rik	1.0	-0.1209118
22009	Nmi	1.0	-0.1209118
22010	Acta2	1.0	-0.1209118
22011	Gm16348	1.0	-0.1209118
22012	Fam163b	1.0	-0.1209118
22013	Ripk4	1.0	-0.1209118
22014	Tmem208	1.0	-0.1209118
22015	Trim12a	1.0	-0.1209118
22016	2310030G06Rik	1.0	-0.12100727
22017	Syk	1.0	-0.12100727
22018	Pm20d1	1.0	-0.12100727
22019	2810032G03Rik	1.0	-0.12100727
22020	Kcnrg	1.0	-0.121102735
22021	Gm45760	1.0	-0.121102735
22022	Nhlrc1	1.0	-0.12119821
22023	Gm15610	1.0	-0.12119821
22024	Lyl1	1.0	-0.12119821
22025	Gm10433	1.0	-0.12119821
22026	Gm36380	1.0	-0.12119821
22027	Tdrd1	1.0	-0.12119821
22028	Agbl3	1.0	-0.12286892
22029	Inca1	1.0	-0.12286892
22030	Aldh6a1	1.0	-0.122916654
22064	Tma7-ps	1.0	-0.12520792
21937	A130051J06Rik	1.0	-0.11819093
22193	Gm15950	1.0	-0.14773867
22195	Gm31105	1.0	-0.14773867
22357	Ccdc138	1.0	-0.17265613
22358	Loxl3	1.0	-0.17313348
22359	Phtf1os	1.0	-0.17322895
22360	Chtf8	1.0	-0.17447005
22361	Nexn	1.0	-0.17528154
22362	Fastkd1	1.0	-0.17532927
22363	St6galnac3	1.0	-0.17637943
22364	Cln5	1.0	-0.17709546
22365	H2-Oa	1.0	-0.17728639
22366	1110018N20Rik	1.0	-0.17728639
22367	Prss56	1.0	-0.17728639
22368	Ccdc194	1.0	-0.17728639
22369	Gm15631	1.0	-0.17728639
22356	Gm17300	1.0	-0.17227426
22370	Bst2	1.0	-0.17728639
22372	Gm6136	1.0	-0.17728639
22373	Arf4os	1.0	-0.17728639
22374	Mir20b	1.0	-0.17728639
22375	Gm43653	1.0	-0.17728639
22376	4930550C14Rik	1.0	-0.17728639
22377	C330018A13Rik	1.0	-0.17728639
22378	Gm6475	1.0	-0.17728639
22379	1700072G22Rik	1.0	-0.17728639
22380	Gm42922	1.0	-0.17728639
22381	Gm44210	1.0	-0.17728639
22382	Gm14328	1.0	-0.17728639
22383	Gm43820	1.0	-0.17728639
22384	Gm5654	1.0	-0.17728639
22371	Gm40778	1.0	-0.17728639
22385	B230112G18Rik	1.0	-0.17728639
22355	Rprd2	1.0	-0.17141503
22353	Gm715	1.0	-0.16921924
22325	Mycbpap	1.0	-0.16072248
22326	Shtn1	1.0	-0.16081795
22327	Fgf17	1.0	-0.16081795
22328	Ahdc1	1.0	-0.16119982
22329	AC158975.1	1.0	-0.16119982
22330	Zrsr1	1.0	-0.1612953
22331	Gm9993	1.0	-0.16167717
22332	Spred3	1.0	-0.16234545
22333	Gm8251	1.0	-0.16306147
22334	Arl5a	1.0	-0.16310921
22335	Safb	1.0	-0.16358656
22336	Man1a	1.0	-0.16368203
22337	Ttc32	1.0	-0.16377749
22354	Hyal2	1.0	-0.169983
22338	Dcaf10	1.0	-0.1642071
22340	Fam3a	1.0	-0.16473219
22341	Gm15706	1.0	-0.16482766
22342	Bcam	1.0	-0.16511406
22343	Bves	1.0	-0.16606875
22344	Tpt1-ps3	1.0	-0.16716665
22345	Asb4	1.0	-0.16721438
22346	Pex3	1.0	-0.1675008
22347	Phkg2	1.0	-0.16759627
22348	Kctd15	1.0	-0.16816908
22349	Rhot2	1.0	-0.16883737
22350	Surf2	1.0	-0.1690283
22351	H2-Ab1	1.0	-0.16912377
22352	Ftsj1	1.0	-0.16912377
22339	Gm29202	1.0	-0.16454124
22386	Gm7739	1.0	-0.17728639
22387	Gm46542	1.0	-0.17728639
22388	Olfr750	1.0	-0.17728639
22422	Gm11827	1.0	-0.17728639
22423	Gm7287	1.0	-0.17728639
22424	Gm3739	1.0	-0.1780024
22425	Zfp825	1.0	-0.17847976
22426	Reep6	1.0	-0.17886163
22427	Atp5l	1.0	-0.1791003
22428	2610306M01Rik	1.0	-0.17933898
22429	Gm26590	1.0	-0.17962539
22430	Tll2	1.0	-0.17962539
22431	Gm8130	1.0	-0.17962539
22432	Htr3a	1.0	-0.17962539
22433	Gm26621	1.0	-0.17962539
22434	Rapsn	1.0	-0.17962539
22421	B230217O12Rik	1.0	-0.17728639
22435	A630014C17Rik	1.0	-0.17972085
22437	Arsi	1.0	-0.17972085
22438	Derl3	1.0	-0.17972085
22439	Lmo7	1.0	-0.17972085
22440	Gm43868	1.0	-0.17972085
22441	Grk4	1.0	-0.17972085
22442	Gm10291	1.0	-0.17981632
22443	Gm8451	1.0	-0.17981632
22444	Heph	1.0	-0.17981632
22445	Gm43703	1.0	-0.17981632
22446	Gm5391	1.0	-0.17981632
22447	Ccdc122	1.0	-0.17981632
22448	Cryge	1.0	-0.17991179
22449	Gm7599	1.0	-0.17991179
22436	AC137853.2	1.0	-0.17972085
22420	Olfm4	1.0	-0.17728639
22419	Gm37668	1.0	-0.17728639
22418	1700112D23Rik	1.0	-0.17728639
22389	Adgra2	1.0	-0.17728639
22390	Gm35692	1.0	-0.17728639
22391	Gm6471	1.0	-0.17728639
22392	Gm14861	1.0	-0.17728639
22393	Ppp1r1b	1.0	-0.17728639
22394	Znf41-ps	1.0	-0.17728639
22395	Gm6807	1.0	-0.17728639
22396	Capsl	1.0	-0.17728639
22397	Itih5	1.0	-0.17728639
22398	Adamts14	1.0	-0.17728639
22399	Pde6b	1.0	-0.17728639
22400	Fam187b	1.0	-0.17728639
22401	Atp6v1c2	1.0	-0.17728639
22402	Gm6472	1.0	-0.17728639
22403	Cxcl14	1.0	-0.17728639
22404	Lrrc23	1.0	-0.17728639
22405	Gm14323	1.0	-0.17728639
22406	Tmem215	1.0	-0.17728639
22407	Gm8463	1.0	-0.17728639
22408	Lct	1.0	-0.17728639
22409	Gm48067	1.0	-0.17728639
22410	Itgb4	1.0	-0.17728639
22411	Gm11645	1.0	-0.17728639
22412	Gabrb1	1.0	-0.17728639
22413	Gm10369	1.0	-0.17728639
22414	Gnat2	1.0	-0.17728639
22415	Tmem238	1.0	-0.17728639
22416	Gm48898	1.0	-0.17728639
22417	Myh6	1.0	-0.17728639
22324	2810029C07Rik	1.0	-0.16053154
22194	Gm4217	1.0	-0.14773867
22323	Trim45	1.0	-0.16053154
22321	Spsb1	1.0	-0.1604838
22228	Sox15	1.0	-0.1504118
22229	Gm10101	1.0	-0.1504118
22230	Tdg-ps	1.0	-0.1504118
22231	Lypd6b	1.0	-0.1504118
22232	Gm10120	1.0	-0.1504118
22233	Gm14336	1.0	-0.1504118
22234	Gm45441	1.0	-0.1504118
22235	Crip1	1.0	-0.15045953
22236	Ubash3a	1.0	-0.15050727
22237	Gsta3	1.0	-0.15050727
22238	A430073D23Rik	1.0	-0.15050727
22239	Ripk3	1.0	-0.15050727
22240	Gm26648	1.0	-0.15050727
22227	Gm49252	1.0	-0.15031633
22241	Gm16374	1.0	-0.15050727
22243	A630089N07Rik	1.0	-0.15060274
22244	Fbxo48	1.0	-0.15060274
22245	Aifm3	1.0	-0.15060274
22246	Gm44624	1.0	-0.1506982
22247	9130008F23Rik	1.0	-0.1506982
22248	Gm7204	1.0	-0.1506982
22249	Gm10180	1.0	-0.1506982
22250	Foxa2	1.0	-0.15079367
22251	Tbc1d5	1.0	-0.15103234
22252	Tada2b	1.0	-0.15217797
22253	Cyp46a1	1.0	-0.15241665
22254	E230001N04Rik	1.0	-0.15251212
22255	AW146154	1.0	-0.15260759
22242	Gm10169	1.0	-0.15060274
22256	AA914427	1.0	-0.15260759
22226	Apela	1.0	-0.15031633
22224	Gm26637	1.0	-0.15031633
22196	Gm11508	1.0	-0.14773867
22197	Hmgb1-ps3	1.0	-0.14773867
22198	Bnc1	1.0	-0.14773867
22199	Gm11281	1.0	-0.14773867
22200	Ccdc28a	1.0	-0.14835921
22201	Gm5141	1.0	-0.14845468
22202	Gm9800	1.0	-0.14883655
22203	5530601H04Rik	1.0	-0.14926617
22204	Slc44a1	1.0	-0.14993446
22205	Trim25	1.0	-0.14993446
22206	Gm9796	1.0	-0.15012538
22207	Gm5047	1.0	-0.15012538
22208	Fbln7	1.0	-0.15012538
22225	Gm13033	1.0	-0.15031633
22209	Cdh3	1.0	-0.15012538
22211	Exoc3l	1.0	-0.15022086
22212	Gm6576	1.0	-0.15022086
22213	Flvcr2	1.0	-0.15022086
22214	2010110K18Rik	1.0	-0.15022086
22215	2810403D21Rik	1.0	-0.15022086
22216	Gm25799	1.0	-0.15022086
22217	Gm32256	1.0	-0.15022086
22218	Zfp354a	1.0	-0.1502686
22219	Gm15441	1.0	-0.15031633
22220	Gm7867	1.0	-0.15031633
22221	Gm10260	1.0	-0.15031633
22222	Rasl2-9	1.0	-0.15031633
22223	Gm26885	1.0	-0.15031633
22210	Cbs	1.0	-0.15012538
22257	Mpz	1.0	-0.15270306
22258	Gm49025	1.0	-0.15270306
22259	St14	1.0	-0.15279853
22293	Pygm	1.0	-0.15547167
22294	2700033N17Rik	1.0	-0.1555194
22295	1700113A16Rik	1.0	-0.15556714
22296	She	1.0	-0.15575807
22297	Pex11g	1.0	-0.15585354
22298	Gm5425	1.0	-0.15604448
22299	Myo1a	1.0	-0.15623543
22300	C77080	1.0	-0.15623543
22301	Dmc1	1.0	-0.15642636
22302	Lmf1	1.0	-0.1566173
22303	Rasip1	1.0	-0.15671277
22304	Gbp7	1.0	-0.15719011
22305	D3Ertd751e	1.0	-0.15747651
22292	Gm37179	1.0	-0.1553762
22306	P2rx4	1.0	-0.15747651
22308	Xiap	1.0	-0.15757199
22309	Pnldc1	1.0	-0.15795387
22310	Decr2	1.0	-0.15809707
22311	Gja1	1.0	-0.15824027
22312	CR974462.5	1.0	-0.15843122
22313	Gm24245	1.0	-0.15862215
22314	Sorbs3	1.0	-0.15871762
22315	BC037704	1.0	-0.15890856
22316	Utf1	1.0	-0.1590995
22317	Usp38	1.0	-0.15972005
22318	Nop16	1.0	-0.15981552
22319	Tpt1-ps6	1.0	-0.15986325
22320	B230307C23Rik	1.0	-0.16005419
22307	1700039I01Rik	1.0	-0.15747651
22291	Nme3	1.0	-0.15518525
22290	Nsun3	1.0	-0.15518525
22289	F8	1.0	-0.15480338
22260	Gm9625	1.0	-0.15289399
22261	D830050J10Rik	1.0	-0.15289399
22262	Nos3	1.0	-0.15289399
22263	Vsnl1	1.0	-0.15289399
22264	Ahnak2	1.0	-0.15298946
22265	Fbxo15	1.0	-0.15298946
22266	L1td1	1.0	-0.15298946
22267	Zbtb8b	1.0	-0.15298946
22268	Cited4	1.0	-0.15308493
22269	Hpdl	1.0	-0.15308493
22270	Gm44037	1.0	-0.15308493
22271	A430027H14Rik	1.0	-0.1531804
22272	2810414N06Rik	1.0	-0.1531804
22273	Sptb	1.0	-0.15327588
22274	Rfng	1.0	-0.1533236
22275	Gm12416	1.0	-0.15337135
22276	Naaladl2	1.0	-0.15337135
22277	2610035F20Rik	1.0	-0.1534668
22278	Nfatc1	1.0	-0.15375322
22279	Vwa5a	1.0	-0.1538487
22280	Nsmf	1.0	-0.15389642
22281	Zfp592	1.0	-0.1541351
22282	Tmem117	1.0	-0.15432604
22283	AC109619.1	1.0	-0.15446924
22284	Smim1	1.0	-0.15451698
22285	Frg2f1	1.0	-0.15461244
22286	Gm12005	1.0	-0.15470791
22287	Gm9385	1.0	-0.15470791
22288	2610017A05Rik	1.0	-0.15470791
22322	Creb3l4	1.0	-0.16053154
21420	Aspg	1.0	-0.08864319
21936	Fdx1l	1.0	-0.11819093
21934	Gm8806	1.0	-0.11819093
21583	Gm11249	1.0	-0.0911254
21584	Gpha2	1.0	-0.0911254
21585	Gm45269	1.0	-0.0911254
21586	Adora2b	1.0	-0.0911254
21587	Tmsb15b1	1.0	-0.0911254
21588	Ube2v1	1.0	-0.0911254
21589	Gm5525	1.0	-0.0911254
21590	AC160336.1	1.0	-0.0911254
21591	Gm37563	1.0	-0.09122086
21592	Tmem30b	1.0	-0.09122086
21593	Tex14	1.0	-0.09122086
21594	Aadat	1.0	-0.09122086
21595	Gm7776	1.0	-0.09122086
21582	Aldh1l1	1.0	-0.0911254
21596	Gm13498	1.0	-0.09122086
21598	Gm42508	1.0	-0.09122086
21599	Irgm2	1.0	-0.09122086
21600	Stard8	1.0	-0.09122086
21601	Gm49085	1.0	-0.09122086
21602	Tulp2	1.0	-0.09122086
21603	5430430B14Rik	1.0	-0.09122086
21604	Gm30054	1.0	-0.09122086
21605	Hopx	1.0	-0.09122086
21606	Npy	1.0	-0.09122086
21607	Foxl1	1.0	-0.09122086
21608	Zfp972	1.0	-0.09122086
21609	Cd34	1.0	-0.09122086
21610	Gm17275	1.0	-0.09122086
21597	AC241534.1	1.0	-0.09122086
21611	Trp53-ps	1.0	-0.09122086
21581	Ptk2b	1.0	-0.0911254
21579	Gm16279	1.0	-0.0911254
21551	Gm26775	1.0	-0.08864319
21552	Gpc5	1.0	-0.08864319
21553	Gm5648	1.0	-0.08864319
21554	Gm9877	1.0	-0.08864319
21555	Gm16478	1.0	-0.08864319
21556	Thpo	1.0	-0.08864319
21557	Gm33432	1.0	-0.08864319
21558	Gm17891	1.0	-0.08864319
21559	Dazl	1.0	-0.08864319
21560	Gm6704	1.0	-0.08864319
21561	Lax1	1.0	-0.08864319
21562	Gm9416	1.0	-0.08864319
21563	Gucy1b2	1.0	-0.08864319
21580	Bmp3	1.0	-0.0911254
21564	Abra	1.0	-0.08864319
21566	Tbx1	1.0	-0.08864319
21567	Gm11478	1.0	-0.08864319
21568	Myom1	1.0	-0.08864319
21569	Gm9754	1.0	-0.08864319
21570	Gm5129	1.0	-0.08864319
21571	Eva1c	1.0	-0.08864319
21572	Anp32b-ps1	1.0	-0.08864319
21573	Cab39l	1.0	-0.08907281
21574	Tbccd1	1.0	-0.08950242
21575	A430108G06Rik	1.0	-0.0911254
21576	Gabra4	1.0	-0.0911254
21577	Gm7488	1.0	-0.0911254
21578	Gm9747	1.0	-0.0911254
21565	Crygn	1.0	-0.08864319
21612	Phf11d	1.0	-0.09122086
21613	A730061H03Rik	1.0	-0.091316335
21614	Gm16433	1.0	-0.091316335
21648	Gm6440	1.0	-0.09150727
21649	Gm26799	1.0	-0.09160274
21650	Nepn	1.0	-0.09160274
21651	Zfp981	1.0	-0.09160274
21652	Klhdc7a	1.0	-0.09160274
21653	Gnrh1	1.0	-0.09160274
21654	Vat1l	1.0	-0.09198462
21655	Ndufaf3	1.0	-0.092843845
21656	Col5a2	1.0	-0.09341666
21657	Elf4	1.0	-0.09341666
21658	Gm15682	1.0	-0.09341666
21659	Hs3st6	1.0	-0.09341666
21660	Lpin3	1.0	-0.09341666
21647	Gm5620	1.0	-0.09150727
21661	Gm4013	1.0	-0.09341666
21663	Gm9790	1.0	-0.093512125
21664	Gm44013	1.0	-0.093512125
21665	Cfap100	1.0	-0.0936076
21666	B130046B21Rik	1.0	-0.0936076
21667	Gm7846	1.0	-0.0936076
21668	Pax9	1.0	-0.0936076
21669	Gm7890	1.0	-0.0936076
21670	Haus5	1.0	-0.0936076
21671	Ldb3	1.0	-0.09370307
21672	Akap7	1.0	-0.09370307
21673	Gm14398	1.0	-0.09370307
21674	Gm17477	1.0	-0.09370307
21675	Syndig1	1.0	-0.09379853
21662	Gm4057	1.0	-0.093512125
21646	Gm12250	1.0	-0.09150727
21645	Tmem100	1.0	-0.09150727
21644	Eps8l2	1.0	-0.09150727
21615	Sox6os	1.0	-0.091316335
21616	Atp8b5	1.0	-0.091316335
21617	Ccdc80	1.0	-0.091316335
21618	Smc2os	1.0	-0.091316335
21619	Gm10715	1.0	-0.091316335
21620	Myh7	1.0	-0.091316335
21621	Vwa7	1.0	-0.091316335
21622	Gm13771	1.0	-0.091316335
21623	AC137605.4	1.0	-0.091316335
21624	Crybb3	1.0	-0.091316335
21625	Gm8203	1.0	-0.091316335
21626	Kcna3	1.0	-0.091316335
21627	Kcnt1	1.0	-0.091316335
21628	Zpbp	1.0	-0.09141181
21629	Nckap1l	1.0	-0.09141181
21630	Gm26857	1.0	-0.09141181
21631	Gm49699	1.0	-0.09141181
21632	Zbtb32	1.0	-0.09141181
21633	Triml1	1.0	-0.09141181
21634	Rnls	1.0	-0.09141181
21635	Gm4889	1.0	-0.09141181
21636	Gm14124	1.0	-0.09141181
21637	Gm38973	1.0	-0.09141181
21638	2410004I01Rik	1.0	-0.09150727
21639	4933439K11Rik	1.0	-0.09150727
21640	4930502E09Rik	1.0	-0.09150727
21641	Dpp4	1.0	-0.09150727
21642	Gm29773	1.0	-0.09150727
21643	Nupr1l	1.0	-0.09150727
21550	Gm45751	1.0	-0.08864319
21676	Ttc39a	1.0	-0.09379853
21549	8030423F21Rik	1.0	-0.08864319
21547	Gm10441	1.0	-0.08864319
21454	Gdnf	1.0	-0.08864319
21455	Gm9211	1.0	-0.08864319
21456	Gm3272	1.0	-0.08864319
21457	Slc7a10	1.0	-0.08864319
21458	Aqp8	1.0	-0.08864319
21459	Vmn1r-ps136	1.0	-0.08864319
21460	Gm5089-1	1.0	-0.08864319
21461	B830017H08Rik	1.0	-0.08864319
21462	Gm49794	1.0	-0.08864319
21463	Krt1	1.0	-0.08864319
21464	Eaf2	1.0	-0.08864319
21465	Krt80	1.0	-0.08864319
21466	1700001P01Rik	1.0	-0.08864319
21453	2010300F17Rik	1.0	-0.08864319
21467	Irs4	1.0	-0.08864319
21469	Gm10240	1.0	-0.08864319
21470	Gm41192	1.0	-0.08864319
21471	Cfap299	1.0	-0.08864319
21472	Gm10447	1.0	-0.08864319
21473	Mpp4	1.0	-0.08864319
21474	Gm18234	1.0	-0.08864319
21475	Tex13b	1.0	-0.08864319
21476	Gm15816	1.0	-0.08864319
21477	Gm9732	1.0	-0.08864319
21478	Gm45774	1.0	-0.08864319
21479	Klk10	1.0	-0.08864319
21480	Slitrk6	1.0	-0.08864319
21481	Rtp4	1.0	-0.08864319
21468	Gm37502	1.0	-0.08864319
21482	Gm5422	1.0	-0.08864319
21452	Gm15421	1.0	-0.08864319
21450	Vmn2r93	1.0	-0.08864319
21422	Hoxa3	1.0	-0.08864319
21423	Nr1i3	1.0	-0.08864319
21424	Ybx1-ps2	1.0	-0.08864319
21425	Gm38272	1.0	-0.08864319
21426	Saa1	1.0	-0.08864319
21427	Gm9768	1.0	-0.08864319
21428	Gm28793	1.0	-0.08864319
21429	Gm11703	1.0	-0.08864319
21430	A330043C09Rik	1.0	-0.08864319
21431	Arhgap30	1.0	-0.08864319
21432	Gm12933	1.0	-0.08864319
21433	Hpn	1.0	-0.08864319
21434	Gm5928	1.0	-0.08864319
21451	Fgl2	1.0	-0.08864319
21435	Gria1	1.0	-0.08864319
21437	Ap1m2	1.0	-0.08864319
21438	Gm10029	1.0	-0.08864319
21439	Gm18089	1.0	-0.08864319
21440	Gm23402	1.0	-0.08864319
21441	Akr1c12	1.0	-0.08864319
21442	Gm6768	1.0	-0.08864319
21443	Gm12989	1.0	-0.08864319
21444	Gm26652	1.0	-0.08864319
21445	Gm14636	1.0	-0.08864319
21446	Gm14132	1.0	-0.08864319
21447	Gm26597	1.0	-0.08864319
21448	Arc	1.0	-0.08864319
21449	1110013H19Rik	1.0	-0.08864319
21436	Gm13977	1.0	-0.08864319
21483	Gm6083	1.0	-0.08864319
21484	Gm19276	1.0	-0.08864319
21485	Tssk6	1.0	-0.08864319
21519	Rmi2	1.0	-0.08864319
21520	Olfr138	1.0	-0.08864319
21521	Gm8996	1.0	-0.08864319
21522	Gm8692	1.0	-0.08864319
21523	Trim54	1.0	-0.08864319
21524	5033428I22Rik	1.0	-0.08864319
21525	2900076G11Rik	1.0	-0.08864319
21526	Gm36964	1.0	-0.08864319
21527	Gm30371	1.0	-0.08864319
21528	Smc1b	1.0	-0.08864319
21529	Gm24988	1.0	-0.08864319
21530	Tceal6	1.0	-0.08864319
21531	4933431J24Rik	1.0	-0.08864319
21518	Gm27184	1.0	-0.08864319
21532	Pkhd1l1	1.0	-0.08864319
21534	Gm27198	1.0	-0.08864319
21535	Gm7336	1.0	-0.08864319
21536	Gm5561	1.0	-0.08864319
21537	C330024D21Rik	1.0	-0.08864319
21538	Gm8100	1.0	-0.08864319
21539	2210011C24Rik	1.0	-0.08864319
21540	Liph	1.0	-0.08864319
21541	Mx2	1.0	-0.08864319
21542	Gm43173	1.0	-0.08864319
21543	Pla2g1b	1.0	-0.08864319
21544	Ctsc	1.0	-0.08864319
21545	Gm5406	1.0	-0.08864319
21546	Mill1	1.0	-0.08864319
21533	Iqcf1	1.0	-0.08864319
21517	Cldn4	1.0	-0.08864319
21516	Gm23058	1.0	-0.08864319
21515	Wnt11	1.0	-0.08864319
21486	Smoc2	1.0	-0.08864319
21487	Gm2061	1.0	-0.08864319
21488	Gm12331	1.0	-0.08864319
21489	5033423K11Rik	1.0	-0.08864319
21490	Gstt1	1.0	-0.08864319
21491	H2-M3	1.0	-0.08864319
21492	Gm49484	1.0	-0.08864319
21493	Gm20522	1.0	-0.08864319
21494	Tmem59l	1.0	-0.08864319
21495	Ttc34	1.0	-0.08864319
