	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
29069	Kars	6.40597014791011e-77	-18.82644
29068	Zfp36l1	2.1323588161816082e-76	-18.76238
82	Xpr1	2.487838522924917e-76	18.753931
29067	Phb2	3.822587450874617e-76	-18.730827
83	Dpysl4	3.964837317953792e-76	18.728632
84	Rnd3	9.853796195462157e-76	18.679848
29066	Snhg1	2.0167805429644385e-75	-18.641325
29065	Cdc20	2.2006778876237662e-75	-18.636408
29064	Irx3	2.216089684775946e-75	-18.635788
29063	Cct6a	2.3585548523672913e-75	-18.632208
29062	Set	6.76927140849267e-75	-18.57545
85	Trp53inp2	1.2912010286231241e-74	18.54051
29061	Rcn1	1.67734240641175e-74	-18.52619
86	Kdm5b	4.510330295884765e-74	18.472631
29060	Fkbp4	5.571089010608641e-74	-18.460983
29059	Gnl3	7.88980288489331e-74	-18.441938
29058	Rsl1d1	8.072678787130121e-74	-18.440458
29057	Slc16a1	9.404206361285452e-74	-18.431961
29056	Birc5	1.2537169263568755e-73	-18.41616
87	St18	5.1416590707601696e-73	18.339355
88	Cyfip2	6.000735192573429e-73	18.330715
89	Rbfox2	4.061012864294135e-72	18.226177
29055	Dnmt1	1.416036096983863e-71	-18.157486
90	Wdfy3	1.5979239386383551e-71	18.150614
91	Plxna2	2.372433371819946e-71	18.128654
29054	Cdk2ap1	2.7118034727400116e-71	-18.121065
92	Ncan	2.8718167436847356e-71	18.117676
29053	Lsm2	4.187738068452573e-71	-18.096672
29052	Yap1	5.511377979686077e-71	-18.081303
29051	Polr2f	6.867166436969953e-71	-18.06894
93	Wsb1	8.622150997287924e-71	18.056147
29050	Lyar	4.629880016741458e-70	-17.962873
94	Cadps	8.648205052712837e-70	17.92793
29049	Mrpl12	1.0636759413359204e-69	-17.91619
29048	Hells	1.3341468599381308e-69	-17.903347
29047	Gsta4	1.4036067861903595e-69	-17.900293
29046	Anapc11	4.1546192172620545e-69	-17.839527
95	Sptbn2	1.0912729035667278e-68	17.785252
29045	Ddx18	1.216406362399544e-68	-17.778713
96	Gsk3b	1.216406362399544e-68	17.778856
29044	Gar1	2.7497275573899016e-68	-17.732697
97	Gse1	3.560030843898786e-68	17.717947
98	Ank3	7.1528020027835586e-68	17.678423
29043	Rbm8a	8.417016837995514e-68	-17.669018
99	Tcaf1	1.3369833069077977e-67	17.64267
29042	Cdca7	1.452780079777293e-67	-17.637753
100	Nrep	1.52616238106053e-67	17.634745
29041	Polr2m	1.5992056005198152e-67	-17.631882
29040	Hat1	1.6504841987710102e-67	-17.629875
101	Rere	2.237107334735636e-67	17.612453
29039	Ddx39	3.8375978023587756e-67	-17.581665
102	Ank2	4.3118580758556384e-67	17.574839
29038	Hmgb3	4.5559700458286075e-67	-17.571497
29037	Msh6	6.11773791639687e-67	-17.55455
103	Stmn1	7.149680044140391e-67	17.54548
29036	Hnrnpm	1.1590942713897841e-66	-17.517796
104	Insm1	1.9860730781292768e-66	17.486912
105	Soga3	3.0573737630145864e-66	17.46209
29035	Hoxaas3	5.776017674201835e-66	-17.425524
29034	Ndufs6	7.166210461493125e-66	-17.41297
29033	Tpt1	8.750078760931825e-66	-17.401323
29032	Ppp1ca	8.797952859626515e-66	-17.400797
29031	Gm15459	9.67109181614801e-66	-17.395164
29030	Fscn1	1.1747802326593766e-65	-17.383804
29029	Srsf7	1.8588371344004357e-65	-17.357264
29028	Dtl	1.8597668474962836e-65	-17.357025
106	Clasp1	2.111267495919906e-65	17.349531
107	Arfgef1	2.2915536737681263e-65	17.344614
29027	Ldha	2.432058398396476e-65	-17.340986
29026	Atp1a1	3.4626682303455025e-65	-17.32046
108	Unc13a	3.6565126733282396e-65	17.31712
29025	Tkt	5.071657685267762e-65	-17.298073
109	Kif5a	6.04358080620358e-65	17.287762
29024	Eif3k	7.018710161511208e-65	-17.27893
110	Macf1	8.586589394121679e-65	17.267094
29023	2410006H16Rik	1.3247796771629151e-64	-17.241842
111	Bmpr2	1.877861306532816e-64	17.221458
29022	Ptges3	1.9646044465166393e-64	-17.218643
112	Epb41	2.219152873445207e-64	17.211386
29021	Ywhae	2.4393386178347184e-64	-17.205706
113	Kif1a	2.442946953411711e-64	17.20542
29020	E2f4	2.8967078808561963e-64	-17.195349
114	Zfhx3	6.072150081881423e-64	17.152195
115	Lhx5	7.876412196101421e-64	17.136873
116	Slc1a2	8.848647999585927e-64	17.129904
29019	Snrpa1	1.1085930247513466e-63	-17.116585
29018	Cacybp	1.1416644184430156e-63	-17.114676
29017	Cdc34	1.5033276342241638e-63	-17.098446
29016	Snhg8	1.638140298094048e-63	-17.093243
29015	Ccnb2	1.6514638068902387e-63	-17.092575
117	Mex3a	2.598106006448039e-63	17.065939
29014	Fkbp3	4.515773172190325e-63	-17.033432
29013	Mybbp1a	6.216171776865759e-63	-17.014528
118	Trip12	6.564619461170203e-63	17.01114
119	Psap	9.173677654225402e-63	16.99133
120	Nav2	1.1279026531615544e-62	16.979015
29012	Prdx4	1.1547833454319842e-62	-16.97744
29011	Nolc1	1.3955729189546936e-62	-16.966125
121	Sbk1	1.7534055925844274e-62	16.952522
29010	Psmd7	1.7792141489373241e-62	-16.951471
29009	Rfc3	4.928415364722897e-62	-16.891277
29008	Cox4i1	1.9111587237689304e-61	-16.810942
29007	Rfc1	2.007374696357742e-61	-16.807838
122	Coro1c	2.490617042330863e-61	16.794855
29006	Clspn	2.8236330544450727e-61	-16.787216
29005	Prelid1	3.6402340002316054e-61	-16.771942
123	Fat4	3.786517894378166e-61	16.769411
29004	Eif3d	3.919759255069671e-61	-16.767168
29003	Srsf1	4.939720260468077e-61	-16.75323
29002	Gcsh	9.787447523205011e-61	-16.71232
29001	Ppa1	1.6541253937943807e-60	-16.680817
124	Kdm7a	1.9799577077887053e-60	16.669886
29000	Hnrnpab	2.0039652701005553e-60	-16.668978
28999	U2af2	2.5831940645801553e-60	-16.653608
28998	Ppm1g	2.585489457196434e-60	-16.653368
125	Ncam1	3.276759829092262e-60	16.639
28997	Dcakd	3.728707065139192e-60	-16.631077
126	Zbtb20	3.92107175407629e-60	16.627878
28996	Cct7	4.536801386742671e-60	-16.618952
