,QC,enrichment,coverage
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_308,good,78.57142857142857,27.732
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_108,good,88.24101068999029,30.422
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_357,good,85.71428571428572,24.922
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_93,good,85.34072900158478,23.102
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_316,good,72.05623901581723,25.626
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_183,good,87.02084734364492,29.224
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_68,good,86.58399098083426,23.64
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_118,good,86.98428290766209,29.822
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_106,good,67.27688787185355,27.892
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_252,good,82.5136612021858,30.75
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_112,good,85.72549019607843,23.56
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_60,good,90.57591623036647,28.552
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_172,good,85.1815823605707,30.122
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_167,good,90.11680143755618,31.084
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_295,good,87.92613636363636,28.012
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_189,good,83.57915437561456,30.238
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_218,good,83.03886925795052,26.484
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_309,good,90.27201475334256,31.114000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_143,good,86.89607229753216,28.98
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_215,good,93.56617647058825,34.094
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_315,good,68.01385681293301,30.154
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_336,good,91.09792284866468,28.668
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_168,good,85.11480601741883,28.738000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_379,good,89.5885810243493,30.73
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_340,good,79.63709677419355,34.708
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_48,good,86.66666666666669,26.86
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_314,good,76.80074836295603,27.61
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_239,good,86.31447587354407,32.958
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_245,good,86.030428769018,31.57
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_146,good,81.71091445427729,23.572000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_133,good,89.39873417721519,32.62
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_26,good,91.33247089262612,30.91
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_84,good,86.5546218487395,24.424
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_356,good,87.70491803278688,29.048
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_305,good,89.7863470557582,25.436
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_195,good,85.30588907947399,31.182
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_177,good,81.63120567375884,27.258
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_380,good,91.94078947368422,28.73
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_110,good,83.48214285714283,30.742000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_328,good,89.50328022492971,27.514
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_124,good,84.28083255669462,24.610000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_208,good,87.6348547717842,27.624
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_96,good,84.85436893203885,25.378
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_237,good,83.20964749536176,26.228
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_367,good,88.05584281282316,27.398
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_98,good,84.59979736575482,28.898000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_144,good,92.3076923076923,28.708
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_219,good,88.24503311258277,27.558
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_339,bad,47.4347888744776,30.048
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_234,good,86.59025787965616,33.072
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_154,good,76.94431661297743,28.804
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_332,good,92.93193717277488,28.878
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_261,good,78.29099307159353,28.418
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_127,good,85.17441860465118,27.37
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_272,good,84.89583333333334,22.766
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_291,good,86.94390715667312,33.582
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_158,good,90.10752688172042,27.248
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_324,good,86.28571428571429,28.14
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_301,bad,63.09378806333738,27.504
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_251,good,80.6965442764579,27.61
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_40,good,87.05402650356778,31.992
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_75,good,88.45437616387338,24.594
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_211,good,88.06584362139917,28.412
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_42,good,88.25503355704699,27.798
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_238,good,81.9935691318328,23.472
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_229,good,87.52260397830017,29.906
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_109,good,84.20195439739413,24.368
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_296,good,86.2208713272543,29.174
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_353,good,90.52631578947368,29.162
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_38,good,84.90364025695933,30.478
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_51,good,76.49918962722853,26.426
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_331,good,85.274302213667,29.058
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_254,good,88.91752577319588,28.784
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_152,good,81.20166567519334,23.264000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_11,good,78.05788982259571,23.694000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_99,good,88.88070692194404,28.262
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_13,good,86.48208469055373,32.182
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_337,good,86.10747051114024,24.282
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_297,good,87.16075156576201,28.718
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_31,good,84.19408579758435,27.156
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_113,good,73.76681614349776,28.012
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_212,good,86.48979591836734,26.89
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_20,good,85.09389671361502,34.886
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_89,good,96.3594994311718,32.078
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_67,good,85.57740796772565,25.182
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_289,good,81.71052631578947,27.672
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_3,good,90.00000000000001,33.45
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_307,good,85.86065573770493,22.984
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_188,good,86.36363636363636,32.208
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_165,good,82.93918918918918,24.25
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_282,good,81.76100628930818,31.752
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_86,good,84.02877697841727,31.522
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_209,good,88.9855072463768,31.564
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_221,good,87.72067477442135,30.772
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_61,good,91.32420091324202,27.432
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_285,good,87.12311557788944,32.168
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_160,good,84.62441314553992,30.4
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_137,good,83.21596244131455,26.438
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_95,good,86.37709772951628,26.704
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_293,good,87.41721854304636,29.434
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_92,good,65.55199267063672,30.074
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_157,good,81.0074318744839,30.598
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_136,good,93.158953722334,30.84
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_161,bad,35.47017189079879,27.142
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_216,good,86.8698710433763,24.706
