index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_154,29.948795,13.750469
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_110,30.816593,14.803073
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_124,31.725424,15.7549515
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_238,29.523489,12.981703
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_20,27.688997,11.790507
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_344,32.716183,17.339104
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_331,32.568695,17.224268
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_281,29.854103,13.405763
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_13,32.194164,17.56348
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_92,32.02586,15.801769
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_219,32.08924,16.274683
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_291,7.163138,21.831734
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_287,17.395416,12.814745
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_212,44.566586,35.175507
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_3,30.221493,14.085314
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_105,31.44347,15.562025
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_304,33.194492,18.920427
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_307,33.104343,18.133345
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_38,29.610846,13.193491
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_28,34.020927,19.492699
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_234,29.502752,13.147441
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_43,65.56799,61.55436
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_293,10.964589,18.066923
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_296,31.1577,15.084394
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_229,29.67275,13.064577
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_160,69.52032,65.96586
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_136,10.952522,18.030304
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_324,32.865692,17.909393
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_258,32.645382,17.54713
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_306,34.26452,19.48967
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_301,29.647013,13.199266
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_113,33.978268,19.066687
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_292,70.42968,66.94278
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_332,27.204136,11.542864
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_339,29.678804,13.302177
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_328,31.96274,16.068686
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_209,49.75568,42.30222
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_282,32.26826,17.059603
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_261,34.007748,19.188843
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_181,28.549948,11.917631
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_35,30.848625,14.485338
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_221,10.785609,18.440924
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_277,30.948952,15.031329
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_285,31.232517,15.722622
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_62,32.65379,17.141438
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_109,29.755678,13.497375
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_237,32.046352,16.245579
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_11,30.466267,14.405683
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_257,14.377676,15.182519
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_75,31.14516,15.509539
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_31,32.7904,17.580542
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_129,31.288593,15.440251
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_51,31.137598,15.182882
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_337,33.578632,19.03088
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_9,34.20784,19.43115
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_342,32.289436,17.068083
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_32,29.83517,13.295235
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_45,42.07705,31.372149
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_267,29.634186,13.227865
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_30,34.18244,19.352057
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_155,30.268017,13.863765
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_313,29.94565,13.086137
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_232,34.630947,20.201511
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_230,30.234756,13.734421
